miRNA	precursor
miR-514a-3p	mir-514a-3,mir-514a-1,mir-514a-2
miR-532-5p	mir-532
miR-532-3p	mir-532
miR-455-5p	mir-455
miR-455-3p	mir-455
miR-539-5p	mir-539
miR-539-3p	mir-539
miR-545-5p	mir-545
miR-545-3p	mir-545
miR-376a-2-5p	mir-376a-2
miR-487b-5p	mir-487b
miR-487b-3p	mir-487b
miR-552-5p	mir-552
miR-552-3p	mir-552
miR-92b-5p	mir-92b
miR-92b-3p	mir-92b
miR-556-5p	mir-556
miR-556-3p	mir-556
miR-561-5p	mir-561
miR-561-3p	mir-561
miR-551b-5p	mir-551b
miR-551b-3p	mir-551b
miR-570-5p	mir-570
miR-570-3p	mir-570
miR-574-5p	mir-574
miR-574-3p	mir-574
miR-576-5p	mir-576
miR-576-3p	mir-576
miR-579-5p	mir-579
miR-579-3p	mir-579
miR-580-5p	mir-580
miR-580-3p	mir-580
miR-582-5p	mir-582
miR-582-3p	mir-582
miR-584-5p	mir-584
miR-584-3p	mir-584
miR-585-5p	mir-585
miR-585-3p	mir-585
miR-548a-3p	mir-548a-2,mir-548a-1,mir-548a-3
miR-548b-5p	mir-548b
miR-548b-3p	mir-548b
miR-589-5p	mir-589
miR-589-3p	mir-589
miR-550a-5p	mir-550a-2,mir-550a-1
miR-550a-3p	mir-550a-2,mir-550a-1,mir-550a-3
miR-590-5p	mir-590
miR-590-3p	mir-590
miR-593-5p	mir-593
miR-593-3p	mir-593
miR-597-5p	mir-597
miR-597-3p	mir-597
miR-598-5p	mir-598
miR-598-3p	mir-598
miR-548a-5p	mir-548a-3
miR-605-5p	mir-605
miR-605-3p	mir-605
miR-615-5p	mir-615
miR-615-3p	mir-615
miR-616-5p	mir-616
miR-616-3p	mir-616
miR-548c-5p	mir-548c
miR-548c-3p	mir-548c
miR-619-5p	mir-619
miR-619-3p	mir-619
miR-624-5p	mir-624
miR-624-3p	mir-624
miR-625-5p	mir-625
miR-625-3p	mir-625
miR-627-5p	mir-627
miR-627-3p	mir-627
miR-628-5p	mir-628
miR-628-3p	mir-628
miR-629-5p	mir-629
miR-629-3p	mir-629
miR-33b-5p	mir-33b
miR-33b-3p	mir-33b
miR-642a-5p	mir-642a
miR-642a-3p	mir-642a
miR-651-5p	mir-651
miR-651-3p	mir-651
miR-652-5p	mir-652
miR-652-3p	mir-652
miR-548d-5p	mir-548d-1,mir-548d-2
miR-548d-3p	mir-548d-1,mir-548d-2
miR-449b-5p	mir-449b
miR-449b-3p	mir-449b
miR-653-5p	mir-653
miR-653-3p	mir-653
miR-411-5p	mir-411
miR-411-3p	mir-411
miR-654-5p	mir-654
miR-654-3p	mir-654
miR-655-5p	mir-655
miR-655-3p	mir-655
miR-656-5p	mir-656
miR-656-3p	mir-656
miR-549a-5p	mir-549a
miR-549a-3p	mir-549a
miR-659-5p	mir-659
miR-659-3p	mir-659
miR-660-5p	mir-660
miR-660-3p	mir-660
miR-542-5p	mir-542
miR-542-3p	mir-542
miR-758-5p	mir-758
miR-758-3p	mir-758
miR-671-5p	mir-671
miR-671-3p	mir-671
miR-668-5p	mir-668
miR-668-3p	mir-668
miR-550a-3-5p	mir-550a-3
miR-767-5p	mir-767
miR-767-3p	mir-767
miR-1224-5p	mir-1224
miR-1224-3p	mir-1224
miR-1296-5p	mir-1296
miR-1296-3p	mir-1296
miR-1468-5p	mir-1468
miR-1468-3p	mir-1468
miR-1271-5p	mir-1271
miR-1271-3p	mir-1271
miR-1301-5p	mir-1301
miR-1301-3p	mir-1301
miR-454-5p	mir-454
miR-454-3p	mir-454
miR-1185-5p	mir-1185-1,mir-1185-2
miR-1185-2-3p	mir-1185-2
miR-449c-5p	mir-449c
miR-449c-3p	mir-449c
miR-769-5p	mir-769
miR-769-3p	mir-769
miR-766-5p	mir-766
miR-766-3p	mir-766
miR-1185-1-3p	mir-1185-1
miR-670-5p	mir-670
miR-670-3p	mir-670
miR-1298-5p	mir-1298
miR-1298-3p	mir-1298
miR-770-5p	mir-770
miR-675-5p	mir-675
miR-675-3p	mir-675
miR-891a-5p	mir-891a
miR-891a-3p	mir-891a
miR-450b-5p	mir-450b
miR-450b-3p	mir-450b
miR-874-5p	mir-874
miR-874-3p	mir-874
miR-888-5p	mir-888
miR-888-3p	mir-888
miR-541-5p	mir-541
miR-541-3p	mir-541
miR-889-5p	mir-889
miR-889-3p	mir-889
miR-875-5p	mir-875
miR-875-3p	mir-875
miR-876-5p	mir-876
miR-876-3p	mir-876
miR-708-5p	mir-708
miR-708-3p	mir-708
miR-147b-5p	mir-147b
miR-147b-3p	mir-147b
miR-190b-5p	mir-190b
miR-190b-3p	mir-190b
miR-744-5p	mir-744
miR-744-3p	mir-744
miR-885-5p	mir-885
miR-885-3p	mir-885
miR-877-5p	mir-877
miR-877-3p	mir-877
miR-887-5p	mir-887
miR-887-3p	mir-887
miR-873-5p	mir-873
miR-873-3p	mir-873
miR-374b-5p	mir-374b
miR-374b-3p	mir-374b
miR-301b-5p	mir-301b
miR-301b-3p	mir-301b
miR-216b-5p	mir-216b
miR-216b-3p	mir-216b
miR-208b-5p	mir-208b
miR-208b-3p	mir-208b
miR-509-3-5p	mir-509-3
miR-937-5p	mir-937
miR-937-3p	mir-937
miR-939-5p	mir-939
miR-939-3p	mir-939
miR-942-5p	mir-942
miR-942-3p	mir-942
miR-1178-5p	mir-1178
miR-1178-3p	mir-1178
miR-1180-5p	mir-1180
